				
Time	keytime	target	cy	hy
1028.998	46.93527	1	-0.4707947	1.288645
1029.038	46.94944	1	-0.388031	1.387198
1029.059	46.9617	1	-0.3345642	1.366419
1029.099	46.9717	1	-0.3023987	1.504143
1029.135	46.99656	1	-0.2767029	1.538067
1029.171	47.00656	1	-0.2513428	1.675294
1029.197	47.01656	1	-0.1836243	1.69294
1029.237	47.03019	1	0.06818734	1.836942
1029.26	47.04018	1	0.2552344	2.137051
1029.297	47.05018	1	0.9053168	2.786207
1029.326	47.06335	1	1.968044	3.908441
1029.36	47.07335	1	2.836477	4.658409
1029.394	47.08335	1	3.785197	5.699922
1029.43	47.09534	1	5.740419	7.731517
1029.457	47.10939	1	8.056767	10.32117
1029.494	47.12461	1	9.652299	11.93913
1029.537	47.14007	1	12.31804	14.61104
1029.557	47.15361	1	14.47607	16.66547
1029.598	47.16631	1	16.06461	18.05797
1029.633	47.17631	1	17.95956	19.98641
1029.661	47.18631	1	19.19682	21.23505
1029.691	47.19631	1	20.65279	22.66694
1029.732	47.21397	1	22.28997	24.3738
1029.768	47.23544	1	23.00686	25.10163
1029.792	47.24544	1	23.27258	25.38962
1029.823	47.25846	1	23.79094	25.88643
1029.862	47.26846	1	23.98639	26.03572
1029.897	47.27845	1	23.96741	26.06448
1029.932	47.28845	1	23.97217	25.99935
1029.962	47.29845	1	23.72953	25.84001
1029.997	47.30845	1	23.7366	25.75396
1033.036	47.32354	-1	0.239653	2.169558
1033.064	47.33524	-1	0.2537313	2.157534
1033.098	47.34523	-1	0.2556241	2.166966
1033.136	47.35832	-1	0.2688563	2.194013
1033.158	47.37397	-1	0.2822291	2.332617
1033.198	47.38685	-1	0.3020814	2.309756
1033.233	47.40607	-1	0.3375146	2.341427
1033.263	47.42015	-1	0.3556538	2.405487
1033.298	47.43015	-1	0.3603659	2.340967
1033.33	47.44015	-1	0.3612448	2.328174
1033.359	47.45422	-1	0.3838388	2.308805
1033.397	47.46421	-1	0.4153638	2.288149
1033.438	47.47865	-1	0.4765418	2.266646
1033.481	47.49128	-1	0.4724117	2.281737
1033.494	47.5221	-1	0.4023275	2.274201
1033.537	47.5321	-1	0.1130989	2.019129
1033.567	47.5421	-1	-0.4313049	1.395514
1033.596	47.5521	-1	-1.175598	0.624922
1033.625	47.5648	-1	-2.367371	-0.7073059
1033.663	47.58363	-1	-3.149323	-1.621155
1033.689	47.59363	-1	-3.775787	-2.222473
1033.732	47.60744	-1	-5.987244	-4.487366
1033.765	47.61744	-1	-7.878143	-6.223175
1033.797	47.62744	-1	-9.875275	-8.177399
1033.837	47.64558	-1	-12.32254	-10.76746
1033.866	47.65557	-1	-13.79114	-12.11716
1033.891	47.66557	-1	-15.2601	-13.46286
1033.923	47.67868	-1	-18.25018	-16.21796
1033.957	47.69206	-1	-19.86017	-17.89594
1033.999	47.70206	-1	-20.9035	-18.8721
1034.031	47.71206	-1	-22.08392	-20.08585
1034.061	47.72205	-1	-22.79041	-20.90402
1034.089	47.73205	-1	-23.55692	-21.66107
1034.123	47.74535	-1	-24.30945	-22.45483
1034.167	47.77014	-1	-24.53458	-22.71014
1034.199	47.78014	-1	-24.53586	-22.75964
