Time	keytime	target id	target_lon	target_lat	target_y	target_z	target_x	hmd_rx	hmd_ry	hmd_rz	
107.413	9.001828	3	120	0	0	-0.5000001	-0.8660254	-0.009222606	0.007885087	-0.008691331	
107.423	9.009209	3	120	0	0	-0.5000001	-0.8660254	-0.009241696	0.007868227	-0.008674257	
107.429	9.01868	3	120	0	0	-0.5000001	-0.8660254	-0.009262597	0.007839086	-0.008643245	
107.441	9.026542	3	120	0	0	-0.5000001	-0.8660254	-0.009278227	0.007809455	-0.008611029	
107.447	9.036852	3	120	0	0	-0.5000001	-0.8660254	-0.009286229	0.00777266	-0.008569618	
107.457	9.043348	3	120	0	0	-0.5000001	-0.8660254	-0.009286713	0.007757396	-0.008552091	
107.464	9.054114	3	120	0	0	-0.5000001	-0.8660254	-0.009274697	0.007740441	-0.008531043	
107.475	9.06168	3	120	0	0	-0.5000001	-0.8660254	-0.009255195	0.007733142	-0.008520174	
107.482	9.071579	3	120	0	0	-0.5000001	-0.8660254	-0.009215489	0.007729908	-0.008511445	
107.492	9.078971	3	120	0	0	-0.5000001	-0.8660254	-0.009169277	0.007725491	-0.008500567	
107.504	9.088954	3	120	0	0	-0.5000001	-0.8660254	-0.009103725	0.007714985	-0.008480309	
107.509	9.099344	3	120	0	0	-0.5000001	-0.8660254	-0.009025401	0.007695091	-0.008447754	
107.516	9.10588	3	120	0	0	-0.5000001	-0.8660254	-0.008973233	0.007682585	-0.008426985	
107.526	9.111911	3	120	0	0	-0.5000001	-0.8660254	-0.008919772	0.007664383	-0.008399206	
107.532	9.122015	3	120	0	0	-0.5000001	-0.8660254	-0.008832308	0.007627032	-0.008345431	
107.541	9.128342	3	120	0	0	-0.5000001	-0.8660254	-0.008781616	0.007604008	-0.008310856	
107.548	9.137712	3	120	0	0	-0.5000001	-0.8660254	-0.008687363	0.007557797	-0.008249558	
107.557	9.143979	3	120	0	0	-0.5000001	-0.8660254	-0.008633547	0.007529569	-0.008210923	
107.565	9.154778	3	120	0	0	-0.5000001	-0.8660254	-0.008537878	0.007474702	-0.008137118	
107.589	9.161741	3	120	0	0	-0.5000001	-0.8660254	-0.008486827	0.007444404	-0.008096661	
107.600	9.185735	3	120	0	0	-0.5000001	-0.8660254	-0.008284051	0.007306695	-0.007916946	
107.610	9.196159	3	120	0	0	-0.5000001	-0.8660254	-0.008209993	0.007240639	-0.007832274	
107.620	9.206679	3	120	0	0	-0.5000001	-0.8660254	-0.008114126	0.007151312	-0.007722098	
107.628	9.216792	3	120	0	0	-0.5000001	-0.8660254	-0.008045232	0.007076578	-0.007630217	
107.637	9.223206	3	120	0	0	-0.5000001	-0.8660254	-0.008008226	0.007031397	-0.007575294	
107.644	9.233509	3	120	0	0	-0.5000001	-0.8660254	-0.007942989	0.00695731	-0.007484936	
107.654	9.239956	3	120	0	0	-0.5000001	-0.8660254	-0.007913936	0.006916805	-0.007435594	
107.661	9.250691	3	120	0	0	-0.5000001	-0.8660254	-0.007854333	0.006842026	-0.007346171	
107.671	9.257712	3	120	0	0	-0.5000001	-0.8660254	-0.007826787	0.006812195	-0.007309872	
107.678	9.26794	3	120	0	0	-0.5000001	-0.8660254	-0.007780819	0.006767895	-0.007254645	
107.688	9.273849	3	120	0	0	-0.5000001	-0.8660254	-0.007754415	0.006747501	-0.007229697	
107.695	9.285277	3	120	0	0	-0.5000001	-0.8660254	-0.007710357	0.006716941	-0.007191299	
107.705	9.291568	3	120	0	0	-0.5000001	-0.8660254	-0.0076871	0.006702368	-0.007172642	
107.713	9.30263	3	120	0	0	-0.5000001	-0.8660254	-0.007639414	0.006678969	-0.007141666	
107.724	9.309738	3	120	0	0	-0.5000001	-0.8660254	-0.007614363	0.006669572	-0.00712864	
107.731	9.320402	3	120	0	0	-0.5000001	-0.8660254	-0.007560452	0.006650089	-0.007101475	
107.740	9.326191	3	120	0	0	-0.5000001	-0.8660254	-0.007548759	0.006644416	-0.007093271	
107.746	9.335861	3	120	0	0	-0.5000001	-0.8660254	-0.007506704	0.006630151	-0.007073761	
107.757	9.342021	3	120	0	0	-0.5000001	-0.8660254	-0.007484763	0.006621868	-0.007062461	
107.763	9.352999	3	120	0	0	-0.5000001	-0.8660254	-0.007433347	0.006609595	-0.007043695	
107.773	9.359431	3	120	0	0	-0.5000001	-0.8660254	-0.007413827	0.006601159	-0.00703238	
107.779	9.369354	3	120	0	0	-0.5000001	-0.8660254	-0.007383448	0.006582997	-0.007009193	
107.789	9.375291	3	120	0	0	-0.5000001	-0.8660254	-0.007365882	0.006568904	-0.006991805	
107.795	9.385397	3	120	0	0	-0.5000001	-0.8660254	-0.007324126	0.006548353	-0.006964895	
107.806	9.39211	3	120	0	0	-0.5000001	-0.8660254	-0.007294752	0.006532972	-0.006944353	
107.812	9.402269	3	120	0	0	-0.5000001	-0.8660254	-0.007248987	0.00651488	-0.006919538	
