Time	keytime	target	cy	hy	
15.547	9.294573	0	-41.55423	23.28413	
15.571	9.317775	0	-43.13507	23.27165	
15.592	9.33917	0	-44.00183	23.28125	
15.611	9.358704	0	-44.92139	23.28596	
15.632	9.378443	0	-45.16644	23.28222	
15.651	9.398062	0	-45.13602	23.28156	
15.672	9.419017	0	-44.82388	23.27265	
15.695	9.442928	0	-44.4184	23.28155	
15.717	9.463702	0	-43.16534	23.27999	
15.738	9.484857	0	-42.46954	23.26859	
15.759	9.506029	0	-41.40479	23.28014	
15.781	9.527614	0	-40.44009	23.28644	
15.802	9.54852	0	-38.8136	23.28674	
15.821	9.56856	0	-37.48398	23.29894	
15.840	9.587914	0	-36.2692	23.29461	
15.869	9.616007	0	-33.94858	23.28571	
15.890	9.636435	0	-31.43033	23.27919	
15.908	9.655252	0	-28.46738	23.29252	
15.928	9.675077	0	-26.2778	23.28413	
15.946	9.693641	0	-24.06799	23.27897	
15.965	9.711932	0	-20.51108	23.27157	
15.986	9.732821	0	-18.15097	23.27312	
16.004	9.751479	0	-15.75302	23.28361	
16.030	9.777654	0	-13.34048	23.28773	
16.063	9.79819	0	-8.836914	23.27618	
16.086	9.83269	0	-4.832001	23.27822	
16.103	9.850491	0	-3.189819	23.27399	
16.122	9.86955	0	-1.442474	23.27457	
16.140	9.887872	0	0.8565192	23.26562	
16.161	9.908504	0	2.35924	23.25305	
16.188	9.935059	0	3.839245	23.25782	
16.209	9.956349	0	6.759707	23.27007	
16.229	9.975845	0	8.088477	23.27095	
16.250	9.996721	0	9.244477	23.26967	
16.273	10.01959	0	10.56486	23.26786	
16.292	10.03881	0	11.38127	23.26428	
16.311	10.05862	0	11.74604	23.26858	
16.340	10.0878	0	11.91106	23.27518	
16.359	10.10681	0	11.97179	23.2756	
16.379	10.12647	0	11.83526	23.26906	
16.402	10.14923	0	11.37122	23.28636	
16.421	10.16825	0	10.94949	23.27925	
16.439	10.18667	0	10.49869	23.28247	
16.456	10.20313	0	9.870632	23.27066	
16.480	10.22699	0	9.293457	23.27066	
16.509	10.25679	0	8.597062	23.27521	
16.530	10.27717	0	7.009335	23.2755	
16.553	10.30009	0	5.530327	23.28158	
16.573	10.32	0	4.461928	23.281	
16.594	10.34094	0	2.942268	23.28064	
16.616	10.36314	0	1.785213	23.27335	
16.637	10.38445	0	-0.08251953	23.2887	
16.663	10.41011	0	-1.51712	23.28105	
16.683	10.43093	0	-4.396698	23.27469	
16.703	10.45056	0	-6.006165	23.2878	
16.723	10.47074	0	-7.602478	23.27358	
16.744	10.49069	0	-9.799927	23.28093	
16.767	10.51426	0	-11.10657	23.29035	
16.786	10.53334	0	-12.90671	23.27034	
16.805	10.55277	0	-13.9483	23.28889	
16.853	10.6001	0	-15.32886	23.29214	
16.873	10.62021	0	-16.37158	23.29278	
16.894	10.64086	0	-16.28848	23.292	
16.914	10.6607	0	-16.15659	23.29316	
16.934	10.68033	0	-16.14832	23.29572	
16.954	10.70156	0	-16.0582	23.29303	
16.973	10.71999	0	-16.3443	23.28909	
16.999	10.74675	0	-16.57565	23.28333	
17.021	10.76843	0	-17.013	23.28849	
17.041	10.78841	0	-17.10953	23.29642	
17.061	10.80849	0	-17.06039	23.27813	
17.083	10.82906	0	-16.82288	23.28171	
17.102	10.84877	0	-15.89099	23.27254	
17.122	10.86909	0	-15.13184	23.28718	
