Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_y	target_z	target_x	hmd_rx	hmd_ry	hmd_rz	
30.267	9.662892	26.34708		1	120	0	0	-0.5000001	0.8660254	0.005935065	0.01381039	-0.01584161	
30.281	9.676252	26.36044		1	120	0	0	-0.5000001	0.8660254	0.00680609	0.01356638	-0.01559172	
30.293	9.689189	26.37337		1	120	0	0	-0.5000001	0.8660254	0.007813789	0.01327823	-0.01531156	
30.306	9.702155	26.38634		1	120	0	0	-0.5000001	0.8660254	0.008677095	0.01304098	-0.01509879	
30.318	9.71422	26.3984		1	120	0	0	-0.5000001	0.8660254	0.009671086	0.01277314	-0.01487692	
30.329	9.725697	26.40988		1	120	0	0	-0.5000001	0.8660254	0.010478	0.0125533	-0.01470599	
30.341	9.73691	26.42109		1	120	0	0	-0.5000001	0.8660254	0.01111047	0.01237414	-0.01457068	
30.353	9.748895	26.43308		1	120	0	0	-0.5000001	0.8660254	0.01181369	0.01216538	-0.0144156	
30.364	9.76056	26.44474		1	120	0	0	-0.5000001	0.8660254	0.01245387	0.01196036	-0.01426214	
30.376	9.772769	26.45695		1	120	0	0	-0.5000001	0.8660254	0.01304272	0.01176208	-0.01411464	
30.389	9.785545	26.46973		1	120	0	0	-0.5000001	0.8660254	0.01358972	0.01155913	-0.01395867	
30.402	9.798662	26.48285		1	120	0	0	-0.5000001	0.8660254	0.0141024	0.01135379	-0.01379788	
30.414	9.810357	26.49454		1	120	0	0	-0.5000001	0.8660254	0.01465197	0.01111581	-0.013608	
30.428	9.82382	26.508		1	120	0	0	-0.5000001	0.8660254	0.01507264	0.01091314	-0.01344033	
30.441	9.83652	26.5207		1	120	0	0	-0.5000001	0.8660254	0.01550589	0.01068468	-0.01324634	
30.453	9.84866	26.53284		1	120	0	0	-0.5000001	0.8660254	0.0158192	0.01050705	-0.01309285	
30.465	9.861057	26.54524		1	120	0	0	-0.5000001	0.8660254	0.01609252	0.01035648	-0.01296636	
30.478	9.873788	26.55797		1	120	0	0	-0.5000001	0.8660254	0.01632616	0.01023738	-0.01287168	
30.490	9.885104	26.56929		1	120	0	0	-0.5000001	0.8660254	0.01655936	0.01012371	-0.01278486	
30.500	9.896126	26.58031		1	120	0	0	-0.5000001	0.8660254	0.0167135	0.01005349	-0.01273424	
30.512	9.908092	26.59228		1	120	0	0	-0.5000001	0.8660254	0.01687211	0.009980725	-0.01268201	
30.525	9.92081	26.60499		1	120	0	0	-0.5000001	0.8660254	0.01702309	0.009920047	-0.01264349	
30.536	9.9318	26.61598		1	120	0	0	-0.5000001	0.8660254	0.01717372	0.009881651	-0.01263317	
30.550	9.94636	26.63054		1	120	0	0	-0.5000001	0.8660254	0.01733045	0.009876791	-0.01266671	
30.564	9.95997	26.64416		1	120	0	0	-0.5000001	0.8660254	0.01754408	0.009916578	-0.0127712	
30.577	9.973831	26.65802		1	120	0	0	-0.5000001	0.8660254	0.01780944	0.01002984	-0.01298255	
30.591	9.986971	26.67116		1	120	0	0	-0.5000001	0.8660254	0.01814617	0.01021966	-0.01331191	
30.604	10.0004	26.68459		1	120	0	0	-0.5000001	0.8660254	0.0184669	0.01043261	-0.01367032	
30.616	10.0122	26.69638		1	120	0	0	-0.5000001	0.8660254	0.01884768	0.01072312	-0.01414991	
30.630	10.02564	26.70983		1	120	0	0	-0.5000001	0.8660254	0.01917218	0.01099943	-0.01460162	
30.645	10.04109	26.72527		1	120	0	0	-0.5000001	0.8660254	0.01948975	0.01130156	-0.01509124	
30.658	10.05429	26.73848		1	120	0	0	-0.5000001	0.8660254	0.01994912	0.01173552	-0.01580716	
30.671	10.06722	26.7514		1	120	0	0	-0.5000001	0.8660254	0.02040366	0.01212741	-0.0164785	
30.683	10.07912	26.76331		1	120	0	0	-0.5000001	0.8660254	0.02084552	0.0124689	-0.01708887	
30.696	10.09182	26.776		1	120	0	0	-0.5000001	0.8660254	0.02132092	0.01282171	-0.01773731	
30.709	10.10529	26.78948		1	120	0	0	-0.5000001	0.8660254	0.02190874	0.01324292	-0.01853489	
30.722	10.11847	26.80266		1	120	0	0	-0.5000001	0.8660254	0.02243398	0.01360671	-0.01924537	
30.735	10.13157	26.81575		1	120	0	0	-0.5000001	0.8660254	0.0230519	0.01402771	-0.02009028	
30.748	10.14471	26.82889		1	120	0	0	-0.5000001	0.8660254	0.02357951	0.01437345	-0.02080801	
30.760	10.15623	26.84042		1	120	0	0	-0.5000001	0.8660254	0.02418954	0.01475739	-0.02163307	
30.772	10.16852	26.8527		1	120	0	0	-0.5000001	0.8660254	0.02470669	0.01505671	-0.02230817	
30.783	10.17949	26.86368		1	120	0	0	-0.5000001	0.8660254	0.02522919	0.01531111	-0.02292917	
30.797	10.1925	26.87668		1	120	0	0	-0.5000001	0.8660254	0.02566637	0.01548186	-0.02339171	
30.808	10.20347	26.88766		1	120	0	0	-0.5000001	0.8660254	0.02627841	0.01563622	-0.02391627	
30.821	10.21675	26.90093		1	120	0	0	-0.5000001	0.8660254	0.02671219	0.01568758	-0.02420167	
30.836	10.23196	26.91614		1	120	0	0	-0.5000001	0.8660254	0.02730099	0.01566648	-0.02444964	
30.852	10.2473	26.93149		1	120	0	0	-0.5000001	0.8660254	0.02791533	0.01552296	-0.02451913	
30.865	10.26072	26.9449		1	120	0	0	-0.5000001	0.8660254	0.02841397	0.01528816	-0.02438994	
30.879	10.27485	26.95903		1	120	0	0	-0.5000001	0.8660254	0.02888698	0.01496449	-0.02411125	
30.892	10.28761	26.97179		1	120	0	0	-0.5000001	0.8660254	0.02937166	0.01456172	-0.02372073	
30.903	10.29957	26.98375		1	120	0	0	-0.5000001	0.8660254	0.02980695	0.01416059	-0.02331671	
30.918	10.31388	26.99806		1	120	0	0	-0.5000001	0.8660254	0.03025949	0.01371612	-0.02286385	
30.930	10.32587	27.01005		1	120	0	0	-0.5000001	0.8660254	0.03088313	0.01309618	-0.02224563	
30.943	10.33923	27.02341		1	120	0	0	-0.5000001	0.8660254	0.03135655	0.01263312	-0.02180075	
30.957	10.35381	27.03799		1	120	0	0	-0.5000001	0.8660254	0.03183696	0.01217723	-0.02138095	
30.969	10.36564	27.04982		1	120	0	0	-0.5000001	0.8660254	0.03247217	0.01159837	-0.02087645	
